ID,Common,Species,N_male,N_female,B_index,B_p_value,lambda,maximum_proportion_mating,rank_most_successful_male,N_copulations_observed,male_dispersal_pattern,breeding_season_duration,duration_estrous,observed_estrous_overlap,expected_estrus_overlap,synchrony_index
1,mantled howler monkey,Alouatta_palliata,3,15,0.02,0.18,0.33,0.47,1,34,D,365,3,7.5,2.5,0.41
2,mantled howler monkey,Alouatta_palliata,2,10,-0.31,0.72,0.39,0.62,1,8,D,365,3,7.5,1.1,0.41
3,red howler monkey,Alouatta_seniculus,2,NA,NA,NA,1,1,1,NA,D,365,3,2.5,NA,0.13
4,red howler monkey,Alouatta_seniculus,2,NA,NA,NA,1,1,1,NA,D,365,3,2.5,NA,0.13
5,muriqui,Brachyteles_arachnoides,5,18,0.01,0.01,0.16,0.26,NA,227,P,153,2,14.9,7.9,0.53
6,muriqui,Brachyteles_arachnoides,7,8,0.06,0.001,0.34,0.39,NA,39,P,153,2,14.9,1.7,0.53
7,muriqui,Brachyteles_arachnoides,8,8,0.16,0,0.5,0.5,NA,18,P,153,2,14.9,1.7,0.53
8,muriqui,Brachyteles_arachnoides,19,25,0.01,0,0.09,0.1,NA,215,P,153,2,14.9,13.8,0.53
9,brown capuchin,Cebus_apella,5,6,NA,NA,0.34,0.38,1,NA,D,92,5,9.5,13.5,0.44
10,white-faced capuchin,Cebus_capucinus,4,6,-0.63,0.91,0.5,0.5,3,4,D,212,NA,15.8,2.9,NA
11,red-tailed monkey,Cercopithecus_ascanius,9,10,NA,NA,0.59,0.59,NA,18,D,182,3,4.1,4.1,NA
12,blue monkey,Cercopithecus_mitis,9,12,NA,NA,0.24,0.29,1,NA,D,120,2,1.5,5.9,-0.61
13,blue monkey,Cercopithecus_mitis,19,18,NA,NA,0.19,0.18,4,150,D,120,2,1.5,12,-0.61
14,vervet monkey,Chlorocebus_aethiops,2,3,0.48,0,1,1,1,26,D,92,33,92.9,80.6,NA
